Country,Country Code,2019 Life Expectancy,2020 Life Expectancy,2019 GDP (Billion $),2020 GDP (Billion $),lat,long
Equatorial Guinea,GNQ,61.644,60.708,11.3641335497478,9.8938160077398,2.0,10.0
Greece,GRC,81.6390243902439,81.2878048780488,205.25276088936403,188.480337285605,39.0,22.0
Grenada,GRD,74.863,74.924,1.21348518518519,1.04341111111111,12.1167,-61.6667
Greenland,GRL,71.9443902439024,71.8507317073171,2.9973099718762297,3.0828846532456002,72.0,-40.0
Guatemala,GTM,73.129,71.797,77.1723172586478,77.7151830632054,15.5,-90.25
Guam,GUM,77.717,76.612,6.355,5.916,13.4667,144.7833
Guyana,GUY,69.124,68.486,5.173760191846521,5.47125659472422,5.0,-59.0
Honduras,HND,72.881,71.462,24.8822257418119,23.352232483755,15.0,-86.5
Croatia,HRV,78.4243902439025,77.7243902439024,61.8671576793215,58.22130089788379,45.1667,15.5
Haiti,HTI,64.255,64.052,15.016090929512501,14.5082225183018,19.0,-72.4167
Hungary,HUN,76.3195121951219,75.5682926829269,164.020460331659,157.288955508176,47.0,20.0
Indonesia,IDN,70.518,68.808,1119.0998713502,1059.05484269848,-5.0,120.0
Isle of Man,IMN,80.737,80.588,7.31496786628289,6.684225641025639,54.23,-4.55
India,IND,70.91,70.15,2835.60625655884,2674.85157858686,20.0,77.0
Ireland,IRL,82.7024390243903,82.5560975609756,398.933010007356,428.60868783023903,53.0,-8.0
Iraq,IRQ,71.576,69.123,233.636097800338,180.89879793627898,33.0,44.0
Iceland,ISL,83.1634146341463,83.0634146341463,24.6813436492952,21.629953194065898,65.0,-18.0
Israel,ISR,82.8048780487805,82.6487804878049,402.470513619148,413.26766923152195,31.5,34.75
Italy,ITA,83.4975609756098,82.1951219512195,2011.30219882745,1897.46163559191,42.8333,12.8333
Jamaica,JAM,71.767,71.869,15.8307665311474,13.8124218357369,18.25,-77.5
